phase,phase_title,type,category,item,item_id,linked_item_id
3,対策実施（使用部門）,checklist_with_status,吐出側,吐出配管の詰まりを除去する,3_7,2_7,
3,対策実施（使用部門）,checklist_with_status,周辺環境,漏れた液体を拭き取り、漏洩箇所を特定し報告する,3_8,2_8,
3,対策実施（使用部門）,checklist_with_status,周辺環境,ポンプ周囲の換気を確保する,3_9,2_9,
4,故障原因調査（メンテナンス部門）,checklist_with_status,呼び水・ケーシング,呼び水が不足している、または無くなっている,4_0,
4,故障原因調査（メンテナンス部門）,checklist_with_status,呼び水・ケーシング,ケーシングのドレンプラグやエア抜きプラグが緩んでいる,4_1,
4,故障原因調査（メンテナンス部門）,checklist_with_status,モーター・動力,モーターが回転しない,4_2,
4,故障原因調査（メンテナンス部門））,checklist_with_status,モーター・動力,モーターの回転方向が逆である,4_3,
4,故障原因調査（メンテナンス部門）,checklist_with_status,モーター・動力,電源の欠相、または電圧が低下している,4_4,
4,故障原因調査（メンテナンス部門）,checklist_with_status,モーター・動力,モーターの過負荷保護装置（サーマルリレー）が作動している,4_5,
4,故障原因調査（メンテナンス部門）,checklist_with_status,インペラ（羽根車）,インペラが摩耗または損傷している,4_6,
4,故障原因調査（メンテナンス部門）,checklist_with_status,インペラ（羽根車）,インペラとケーシングの間に異物が詰まっている,4_7,
4,故障原因調査（メンテナンス部門）,checklist_with_status,メカニカルシール,メカニカルシール部から著しく漏水している,4_8,
4,故障原因調査（メンテナンス部門）,checklist_with_status,メカニカルシール,メカニカルシール摺動面が損傷・摩耗している,4_9,
4,故障原因調査（メンテナンス部門）,checklist_with_status,軸・軸受,ポンプの軸が固着・ロックしている,4_10,
4,故障原因調査（メンテナンス部門）,checklist_with_status,軸・軸受,軸受（ベアリング）が摩耗または損傷し、異音や発熱がある,4_11,
4,故障原因調査（メンテナンス部門）,checklist_with_status,配管・フランジ,吸込配管の接続部（フランジ等）から空気を吸い込んでいる,4_12,
4,故障原因調査（メンテナンス部門）,checklist_with_status,配管・フランジ,配管の支持が不十分で、ポンプに過大な荷重がかかっている,4_13,
5,対策実施（メンテナンス部門）,checklist_with_status,呼び水・ケーシング,ケーシング内に呼び水を満たす,5_0,4_0,
5,対策実施（メンテナンス部門）,checklist_with_status,呼び水・ケーシング,ドレンプラグやエア抜きプラグを増し締め、またはシールテープを交換して締め直す,5_1,4_1,
5,対策実施（メンテナンス部門）,checklist_with_status,モーター・動力,モーターまたは電源系統の診断・修理を実施する,5_2,4_2,
5,対策実施（メンテナンス部門）,checklist_with_status,モーター・動力,モーターの結線を修正し、正しい回転方向にする,5_3,4_3,
5,対策実施（メンテナンス部門）,checklist_with_status,モーター・動力,電源系統を点検し、規定電圧を確保する,5_4,4_4,
5,対策実施（メンテナンス部門）,checklist_with_status,モーター・動力,過負荷の原因を調査・除去し、サーマルリレーをリセットする,5_5,4_5,
5,対策実施（メンテナンス部門）,checklist_with_status,インペラ（羽根車）,インペラを交換する,5_6,4_6,
5,対策実施（メンテナンス部門）,checklist_with_status,インペラ（羽根車）,ポンプを分解し、インペラとケーシングの間の異物を除去する,5_7,4_7,
5,対策実施（メンテナンス部門）,checklist_with_status,メカニカルシール,メカニカルシールを交換する,5_8,4_8,
5,対策実施（メンテナンス部門）,checklist_with_status,メカニカルシール,メカニカルシールを交換する,5_9,4_9,
5,対策実施（メンテナンス部門）,checklist_with_status,軸・軸受,ポンプを分解し、固着・ロックの原因を除去する,5_10,4_10,
5,対策実施（メンテナンス部門）,checklist_with_status,軸・軸受,軸受（ベアリング）を交換する,5_11,4_11,
5,対策実施（メンテナンス部門）,checklist_with_status,配管・フランジ,吸込配管の接続部のガスケット交換や増し締めを実施する,5_12,4_12,
5,対策実施（メンテナンス部門）,checklist_with_status,配管・フランジ,配管の支持が不十分で、ポンプに過大な荷重がかかっている,5_13,4_13,
6,再起動前準備,checklist_with_status,安全確認,ロックアウト/タグアウトが解除されていることを確認する,6_0,
6,再起動前準備,checklist_with_status,復旧確認,修理・交換箇所に問題がないことを目視で確認する,6_1,
6,再起動前準備,checklist_with_status,周辺確認,工具や部品がポンプ周辺に残置されていないことを確認する,6_2,
6,再起動前準備,checklist_with_status,系統確認,ポンプ前後のバルブが規定の位置にあることを確認する（吸込側：開、吐出側：閉または少し開）,6_3,
6,再起動前準備,checklist_with_status,初期設定,ケーシング内に呼び水が満たされていることを確認する,6_4,
6,再起動前準備,checklist_with_status,初期設定,軸を手で回し、スムーズに回転することを確認する,6_5,
7,試運転・正規運転,checklist_with_status,インチング運転,電源を瞬間的に投入・遮断し、モーターの回転方向が正しいことを確認する,7_0,6_0,
7,試運転・正規運転,checklist_with_status,短時間試運転,吐出側バルブを閉じた状態でポンプを起動し、異音、異常振動、液漏れがないことを確認する,7_1,6_1,
7,試運転・正規運転,checklist_with_status,短時間試運転,軸受やモーターの温度が急上昇しないことを確認する,7_2,6_2,
7,試運転・正規運転,checklist_with_status,負荷運転,吐出側のバルブを徐々に開き、負荷をかける,7_3,6_3,
7,試運転・正規運転,checklist_with_status,負荷運転,吐出圧力、流量が規定値に達することを確認する,7_4,6_4,
7,試運転・正規運転,checklist_with_status,負荷運転,電流値が定格範囲内であることを測定・確認する,7_5,6_5,
7,試運転・正規運転,checklist_with_status,正規運転,各種計器類（圧力、流量、電流、温度）が安定していることを確認し、正規運転に移行する,7_6,
7,試運転・正規運転,checklist_with_status,正規運転,運転記録（圧力、電流値、温度、異音・振動の有無）を記録する,7_7,
